Name	A549	BGC-823	HEK293	H9	PC-3M-IE8	T/G HA-VSMC	MCF-7	NSC	Panc-1	U251
hsa-miR-621	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-21-3p	0.376506424	0.133055295	N/A	N/A	0.795152949	N/A	0.162249792	0.408704844	0.295035038	0.241985717
hsa-miR-361-5p	N/A	N/A	0.067365917	0.269291997	0.802394632	N/A	N/A	0.982801522	0.69247009	0.50327727
hsa-miR-1229	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1324	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-744-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-574-5p	0.450309873	N/A	N/A	N/A	N/A	N/A	0.664999668	0.717802646	0.413515224	N/A
hsa-miR-509-3p	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-554	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-1305	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-551a	0.273844958	0.631462303	0.073854432	0.114984104	0.756755959	N/A	0.714508593	N/A	N/A	0.758667539
hsa-miR-424-5p	N/A	N/A	N/A	N/A	N/A	0.86068222	0.213443389	0.648403228	N/A	N/A
hsa-miR-922	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hsa-miR-181a-5p	0.906691173	N/A	N/A	N/A	N/A	N/A	N/A	0.512550244	0.564538749	0.47187803
hsa-miR-302b-5p	N/A	N/A	N/A	0.215717987	N/A	N/A	N/A	N/A	N/A	N/A
